Island Green Power	16	5070.8
Innova Renewables	16	3830.6
NatPower UK	4	3500.0
Statera Energy	10	2829.9
Alcemi Storage Development Limited	4	2300.0
Newton Energi Limited	14	1766.0
Green Switch Capital Limited	11	1722.9
EDF Energy Renewables	16	1707.1
EcoDev Group Limited	9	1529.5
Regener8 Power Limited	7	1495.7
West Burton Energy	1	1450.0
West Burton Energy / Banks Group	1	1400.0
Renewable Connections Developments Limited	24	1306.1
RWE	4	1284.9
Low Carbon Limited	10	1270.7
Greenfield Energy Developments Limited	9	1255.4
Gresham House Devco Pipeline	3	1236.0
Sandbrook Capital BES Limited	1	1200.0
Field Energy	6	1199.8
Apatura	4	1160.0
FRV TH Powertek Limited	6	1149.7
Masdar Arlington Energy	4	1139.9
Zenobe Energy Limited	3	1100.0
Elements Green	3	1048.0
Novus Renewable Services	3	1045.0
Harmony Energy Limited	10	1011.2
Intergen Limited	2	1000.0
Latos Cardiff Limited	1	1000.0
Matrix Renewables	2	1000.0
Mowbray Energy Park Limited	1	1000.0
Nat Power	1	1000.0
NatPower UK (NP SPV 27 Limited)	1	1000.0
Navenby Energy Limited	1	1000.0
Tagenergy Development UK Limited	1	1000.0
Lightrock Power Limited	4	997.9
Penso Power (BW ESS)	6	970.0
BayWa r.e. UK Limited	9	955.7
Sandbrook Capital Bes Limited	3	885.0
Statkraft UK Limited	8	875.8
ESB (Harker) Limited	2	862.5
Lightrock Power	6	850.9
Clearstone Energy Limited	3	850.0
Photovolt Development Partners / SolarFive	1	840.0
Balance Power Projects Limited	9	828.8
Private Developer	25	816.8
Amp Energy	2	800.0
Statkraft UK LTD	2	800.0
Aura Power Developments Limited	6	774.7
Net Zero One Ltd	1	750.0
Renewable Energy Systems RES Limited (Beaufort)	3	750.0
Windel Energy / Canadian Solar	2	750.0
C&S Energy Limited	2	749.0
Harmony Energy Storage	5	749.0
Noriker Power Limited	3	748.9
Orsted UK Limited / PS Renewables	1	740.0
Mespil Solar Energy	7	737.9
Apatura GPC 700 Limited	1	700.0
Kona Energy Limited	3	700.0
Grenergy Renewables UK Limited	5	689.9
Renewable Energy Systems RES ltd (Beaufort)	5	683.7
Anesco Limited	20	677.8
Boom Developments Limited	5	677.1
Bluefield Renewable Developments Limited	14	652.9
Braxbess Limited	1	650.0
Clearstone Energy	3	649.9
Elgin Energy Esco Limited	10	649.8
Low Carbon	6	645.0
Elgin Energy	18	604.8
New Energy Partnership	2	600.0
SSE Daines BESS Limited	1	600.0
SSE Renewables Ireland Limited	1	550.0
Lightsource BP	12	543.6
Exagen	13	543.1
Boom Power Limited	4	529.9
The Surrey Research Park	1	520.0
Ecotricity Limited	3	518.0
Pathfinder Clean Energy UK Dev Limited	18	515.5
Sunnica	2	508.8
British Solar Renewables	17	508.7
Unknown	13	505.7
One Planet Developments Limited	8	502.7
Blackford Renewables Limited	1	500.0
Brockwell Energy	2	500.0
Eggborough Power Limited	1	500.0
Exagen SPVO2 Limited	1	500.0
Fidra Energy / Drax	1	500.0
Island Green Power (IGP Solar 25 Limited)	1	500.0
Light Valley Solar Limited ( Island Green Power)	1	500.0
Longfield Solar Energy Farm Limited (part of EDF Renwables)	1	500.0
Peterhead Flexpower	1	500.0
Tillbridge Solar Limited	1	500.0
Tribus Clean Energy Limited	1	500.0
Low Carbon UK Solar Investment Co Limited	11	484.4
JBM Solar Projects Limited	7	473.6
Noventum Power Limited	16	462.6
Belltown Power Limited	8	453.4
Intelligent Land Investments Group	5	449.7
Bluestone Energy	9	449.0
Buccleuch Estates Limited	3	449.0
Voltalia UK	7	441.7
Rewe 7 Limited	1	440.0
Eden Renewables	10	430.4
Sky UK Development Limited	8	424.4
SSE Renewables	2	420.0
Zenobe Energy	3	420.0
Boom Power	1	400.0
Field Long Stratton Limited	1	400.0
Grenergy Renewables	3	400.0
Immersa Limited	2	400.0
Innova Renewables Developments Limited	1	400.0
Lightsourcebp	1	400.0
S & C Energy Limited	1	400.0
Welbar Energy Storage Limited / Penso Power (BW ESS)	1	400.0
RWE Generation UK Plc	2	395.0
Gresham House	3	392.0
Geocore Limited	3	389.9
Cragside Energy Limited	5	384.9
Pulse Clean Energy	6	369.0
LJ Construction UK Limited	1	368.0
Solarcentury Limited / Statkraft Uk Limited	2	362.0
Ecap Renewables (Elements Green)	1	360.0
Voltwise Power Holdings Limited	4	358.0
Energi Generation	5	357.9
Gresham House Devco Pipeline Limited	2	352.0
Canadian Solar UK (Recurrent Energy ) / Windel Energy	1	350.0
Pembroke Green Limited (Enso Energy and Cero Generation)	1	350.0
Tribus Clean Energy	3	349.8
Anglesey Land Holdings Limited	1	349.0
The Energy Workshop	1	340.0
Renewable Energy Systems (RES)	9	332.6
Enviromena	14	331.4
Renewco Power	7	331.3
Enso Energy Limited	4	323.9
JBM Solar / RWE	1	320.0
Novus Renewable Services Limited	13	308.5
Ampeak Energy	1	300.0
Field Spittal Limited	1	300.0
First Way Solar Limited	3	300.0
Orsted Power (UK) Limited	1	300.0
RPC Elmya Carnation Foxdale Limited	1	300.0
SSE Battery Storage Limited	1	300.0
TBC 001 Limited	1	300.0
Quintas Cleantech	10	299.8
Pivot Power	6	299.4
Heron Storage Limited	5	295.0
Exeter Storage Limited (Statera Energy)	1	290.0
RES Limited	7	289.7
Green Energy International	7	289.5
Voltalia UK Limited	3	286.0
Whirlwind Energy Storage Limited	6	284.8
Scottish Power Renewables	6	284.7
Anesco	7	282.0
Pivoted Power Llp	5	277.9
Fig Power	7	276.7
Conrad Energy (Developments) Limited	8	276.1
Renewable Energy Systems	5	274.9
BLC Energy	5	267.3
Vattenfall	7	261.9
Stantec	3	259.3
Root Power South Limited	5	259.0
Green Switch Capital	2	258.2
Root Power (North) Limited	5	257.0
Ampyr Solar Europe	7	254.9
Anglo Renewables	7	254.9
Elmya Energy Limited	1	252.0
Statkraft Uk Limited	2	250.0
York Energy Park Limited	1	249.9
Stark Energy	5	249.7
OPDE UK Limted	5	249.5
Aberthaw Energy Limited	1	249.0
Ecostor Grain West Limited	1	249.0
Opdenergy UK 8 Limited	1	249.0
Ouse Energy Limited	1	249.0
Pacific Green	1	249.0
Cubico Renewables	2	247.0
Lackenby Energy Limited	1	244.0
INRG Solar	2	240.0
Qair Renewables UK Limited	1	240.0
SFEL One Limited	1	240.0
Capbal	10	236.8
Simec Atlantic Energy Uskmouth Power Station	1	230.0
Windel Energy	3	229.9
Ridge Clean Energy Limited	6	228.8
Harmony MS Limited	2	228.0
Kona Energy	1	228.0
Green Frog Power 214 Limited	7	227.0
AGR Solar 2 Limited	4	225.0
E Power Limited	7	220.0
P3P Partners LLP	2	220.0
Albanwise Synergy Limited	5	219.8
Brockwell Storage & Solar Limited	5	217.4
Downing Energy Development Company Limited	5	213.6
Net Zero Thirty Three Limited	1	212.0
Banks Renewables	3	206.0
Brockwell Energy Limited	6	205.9
Elgin Energy EsCo Limited	5	204.7
Pelagic Energy	5	203.1
Infinis Solar Developments Limited	10	200.4
Anglo Renewables Limited	4	200.0
BW ESS Development UK Limited	1	200.0
Buccleuch Group	1	200.0
Drax Group	1	200.0
Energy GridPower Ltd / Revera Energy	1	200.0
FRV Tyler Hill BESS 1 Ltd	1	200.0
Field Yaxley Limited	1	200.0
Hamilton March	2	200.0
Harmony BW Limited	1	200.0
Henry Energy Limited	2	200.0
Isenau Energy Storage Five Limited	1	200.0
London & Essex Energy Limited	1	200.0
Nel Tiger	1	200.0
Net Zero Eighteen Limited	1	200.0
Net Zero Energy Development Limited	2	200.0
North Lanrigg Battery Storage Limited	1	200.0
RE Projects Development (REPD) / Field	1	200.0
Rewe 2 Limited	1	200.0
Rewe 9 Limited	1	200.0
Stephenson Halliday	1	200.0
Story Contracting Limited	1	200.0
Tec Marina	1	200.0
Walsoken Limited	1	200.0
GAM Capital Limited	3	199.9
Econergy International Limited	5	199.8
REPD Limited	2	199.8
Renewable Energy Systems Limited	3	199.8
UK Battery Storage	4	199.6
Enso Energy / Cero Generation	2	198.0
Statkraft UK	3	196.5
24 Power Limited	3	195.0
Enso Green Holdings D Limited	1	190.0
Integrum Renewable Energy Limited	4	185.0
Elgin Energy Services Limited	3	180.0
Orsted / Simply Blue Group	1	180.0
Central Bedfordshire Council	1	177.0
Cenin Renewables Limited	4	175.0
Push Energy	7	172.2
Shaw-Energi Limited	3	171.0
Solar 2 Limited	4	167.9
Qair UK	5	165.8
Evolution Power	3	164.8
Sun4net Limited	1	162.0
Beinneun 2 Ltd	1	160.0
Cambridge Power Limited	3	159.9
Elgin Energy EsCo	6	156.9
Conrad Energy (Developments) II Limited	4	155.9
EDF Renewables	4	153.8
Centrica Plc	3	153.3
Greentech	5	152.9
Ecotricity Generation Limited	4	151.0
ADV 003 Limited	1	150.0
Apatura (GPC 1119 Ltd)	1	150.0
Battery Box Limited	1	150.0
E101 Hub 4 Limited	1	150.0
Firma Energy / IB Vogt	1	150.0
KX Alpha Ltd	1	150.0
Lisburn Energy Limited	1	150.0
Miller Developments	1	150.0
SSE Enterprise (SSE PLC)	1	150.0
Sembcorp Utilities (UK) Limited	1	150.0
Valor Power Limited	1	150.0
AGR Renewables	2	149.9
Aura Power	2	149.9
Intelligent Land Investments Group Plc	2	149.9
Low Carbon Storage Ireland	3	149.9
Whirlwind Renewables	3	149.8
Harbour Energy	3	149.7
Low Carbon UK Solar Investment Company Limited	3	149.7
ScottishPower Renewables	5	146.0
Muirhall Energy Limited	3	143.9
Opdenergy	3	141.8
RWE Renewables UK Limited	4	141.2
Coolkeeragh BES Ltd	1	140.0
Electric Land	1	140.0
Namene Solar	4	139.8
Noriker Power	4	139.8
RNA Energy	3	139.0
Infinis Energy Services Limited	5	138.0
Elgin Energy ES Co Limited	6	137.8
PS Renewables Limited	10	137.6
Coriolis Energy	3	136.0
Vox Energy Limited	3	135.0
Exagen Development Limited	4	134.8
Enviromena Project Management UK Limited	5	133.9
Enviromena Asset Management UK Limited	4	130.6
RNA Energy Limited	3	130.3
FPC Electric Land Limited	1	130.0
Infinis	3	130.0
Lower 48 Energy BESS Limited	2	130.0
Toton Battery Storage Limited	1	130.0
Sirius EcoDev Limited	2	129.9
Capital Dynamics Limited	3	125.9
Wentlooge Farmers' Solar Scheme	1	125.0
Eon UK Plc	3	124.5
AW1 Energy Storage Limited	1	120.0
FPC Electric Land limited	1	120.0
IB Vogt UK Limited	4	120.0
Max Design Consultancy	2	120.0
Starlight Energy	3	120.0
Downing Renewable Developments Llp	3	119.8
Tag Energy UK	2	119.8
Novus Renewables Services Limited	2	117.0
Welford Solar Farm Limited	2	116.9
European Energy	2	115.5
Banks Group	2	114.0
Sizing John Limited	2	114.0
Boralex	2	106.0
Conrad Energy	5	105.3
Ecotricity	8	105.0
Kinmuck Energy Storage Limited / Island Green Power	1	105.0
Locogen Limited	4	105.0
Shinness Wind Farm Limited	1	105.0
Ylem Energy Limited	4	103.4
AMG Energy	1	100.0
Alfred Energy Limited	1	100.0
Aura Power BESS Limited	1	100.0
Cambridge Power Limited / Pivot Power	1	100.0
E.ON Climate & Renewables UK Developments	1	100.0
Elgin Energy (EEB67)	2	100.0
European Energy A/S	1	100.0
Field Devco Limited	1	100.0
Fife Power 1 Ltd	1	100.0
Firma Vogt Solar Limited	2	100.0
Firstway Energy / Net Zero Twenty Six Limited	1	100.0
