Lightsource Renewable Energy	179	1241.0
Private Developer	179	1535.3
Renewable Energy Systems (RES)	79	1972.0
Anesco	63	654.0
British Solar Renewables	59	977.8
Scottish Power Renewables	57	11583.0
Scottish and Southern Energy (SSE)	49	2899.9
Ecotricity	48	628.9
Unknown	46	790.1
EDF Energy Renewables	41	2842.1
Green Cat Renewables	35	232.4
Lark Energy	33	263.3
Airvolution Energy	30	240.3
RWE npower	30	729.1
TGC Renewables	30	254.8
E.ON UK	28	1160.6
Hive Energy	28	324.1
Vattenfall	28	2217.5
Banks Renewables	27	903.0
Lightsource BP	27	775.8
Npower Renewables	27	579.4
Renewable Connections Developments Limited	26	1433.3
Wessex Solar Energy	26	236.0
Pathfinder Clean Energy UK Dev Limited	25	616.7
Anesco Limited	23	749.1
Elgin Energy EsCo	23	350.0
Foresight	23	279.8
REG Windpower	23	190.1
Community Windpower	22	1277.7
Elgin Energy	22	712.7
Energiekontor UK	22	402.0
Kronos Solar	21	482.5
AEE Renewables	20	144.6
Island Green Power	20	5091.8
Push Energy	20	290.5
ScottishPower Renewables	20	881.3
Fred Olsen Renewables	19	1054.9
West Coast Energy	19	370.0
INRG Solar	18	365.3
RES Limited	18	1071.2
Noventum Power Limited	17	492.6
Bluefield Renewable Developments Limited	16	792.9
E Power Limited	16	738.7
Energiekontor (UK) Limited	16	957.6
Greencoat UK Wind	16	366.8
Innova Renewables	16	3830.6
RWE Renewables UK Limited	16	7293.0
Belltown Power Limited	15	1207.2
Low Carbon	15	873.9
Low Carbon Limited	15	1521.4
SBC Renewables	15	87.4
Solstice Renewables	15	88.2
Enviromena	14	331.4
John Laing Environmental Assets Group	14	156.2
Newton Energi Limited	14	1766.0
Orsted (formerly Dong Energy)	14	9752.0
Statkraft UK Limited	14	1263.0
Wind Prospect	14	228.0
Exagen	13	543.1
Good Energy Generation	13	121.8
Green Switch Capital Limited	13	1776.9
Harmony Energy Storage	13	1110.5
Infinergy	13	611.0
New Energy for the World	13	67.7
Novus Renewable Services Limited	13	308.5
Pivot Power	13	655.8
Statera Energy	13	2979.8
BayWa r.e. UK Limited	12	1081.7
EDF Energy	12	339.4
Green Energy UK Direct	12	100.0
Greencoat Capital	12	184.9
Harmony Energy Limited	12	1093.2
RWE Npower Renewables	12	698.8
TCI Renewables	12	135.0
Ventient (formerly Infinis)	12	298.4
Vogt Solar	12	86.1
Wind Prospect Developments	12	181.5
Capbal	11	246.8
Elgin Energy Esco Limited	11	749.8
EnergieKontor UK	11	360.6
Green Switch Solutions	11	102.6
Greenfield Energy Developments Limited	11	1570.4
Low Carbon UK Solar Investment Co Limited	11	484.4
Lumicity	11	75.5
Muirden Energy	11	323.1
Muirhall Energy	11	292.8
PS Renewables	11	102.2
Pennant Walters	11	284.5
Quintas Cleantech	11	339.8
RWE	11	2157.6
AMP Energy Services Limited	10	57.5
EDF	10	305.8
EcoDev Group Limited	10	1829.5
Eden Renewables	10	430.4
Gresham House	10	533.1
Infinis Solar Developments Limited	10	200.4
JBM Solar Projects Limited	10	673.3
NextEnery Solar Fund (NESF)	10	49.2
PS Renewables Limited	10	137.6
Penso Power (BW ESS)	10	1220.0
Scottish Water	10	14.6
Voltalia UK	10	526.7
Airtricity	9	357.7
Ampyr Solar Europe	9	272.4
Balance Power Projects Limited	9	828.8
Bluestone Energy	9	449.0
Conergy	9	72.1
Conrad Energy (Developments) Limited	9	300.6
Energia Renewables	9	84.0
Enso Energy Limited	9	555.8
Falck Renewables	9	255.0
First Renewable Developments	9	61.4
Muirhall Energy Limited	9	1071.1
NESF (formerly Lark Energy)	9	51.4
Partnerships for Renewables	9	105.0
REG Windpower (previously Cornwall Light and Power)	9	54.6
RNA Energy Limited	9	203.8
Renewco Power	9	587.3
Sky UK Development Limited	9	504.4
Vento Ludens	9	214.3
Whirlwind Renewables	9	257.1
Wind Estate (UK) Ltd	9	228.6
Ylem Energy Limited	9	353.3
Amazon UK Services / Push Energy	8	17.8
BNRG Renewables	8	51.0
Biffa Waste Services Limited	8	26.9
Broadview Energy	8	100.2
Clean Earth Energy Limited	8	74.2
Enviromena Asset Management UK Limited	8	215.5
Ethical Power	8	194.2
Field Energy	8	1269.7
Fig Power	8	347.7
Gaelectric Developments/ CGN Europe Energy	8	114.4
Green Power Consultants	8	135.0
Greentech	8	211.4
Haymaker Energy	8	80.0
One Planet Developments Limited	8	502.7
Pulse Clean Energy	8	420.8
Regener8 Power Limited	8	1845.7
Renewable Energy Systems	8	637.4
Solar Century/ Bluefield Solar	8	50.0
Solar Power South	8	89.0
Statkraft UK	8	477.2
juwi Renewable Energies	8	58.0
AMEC	7	555.1
Anglo Renewables	7	254.9
Arnold White Estates Limited	7	53.1
Big 60 Million	7	115.2
Blue Energy	7	109.4
Bluefield Solar Income Fund	7	179.1
Brockwell Energy Limited	7	305.9
Burcote Wind	7	342.4
Canadian Solar	7	40.0
Cenin Renewables	7	53.2
Cenin Renewables Limited	7	266.1
Conrad Energy	7	169.3
Coriolis Energy	7	257.5
Coronation Power	7	158.6
FCC Environment	7	74.4
Fred Olsen Renewables Limited	7	289.4
Global Renewable Construction	7	31.6
Green Energy International	7	289.5
Green Frog Power 214 Limited	7	227.0
Mespil Solar Energy	7	737.9
Navitas Project	7	20.4
OPDE UK Limted	7	327.4
Orkney Sustainable Energy	7	58.8
Peel Energy	7	64.9
Ridge Clean Energy Limited	7	287.3
Root Power South Limited	7	359.0
Severn Trent Water	7	24.0
Temporis Capital	7	62.9
Trina Solar	7	78.9
United Utilities	7	20.5
Whirlwind Energy Storage Limited	7	334.7
Your Energy	7	136.9
ABO Wind	6	157.9
Active Renewables	6	23.0
Aldi	6	8.3
Anglo Renewables Limited	6	299.8
Aura Power	6	239.8
Aura Power Developments Limited	6	774.7
BE Renewables	6	44.6
Bee Green Solar	6	23.8
Boom Developments Limited	6	704.4
Brockwell Storage & Solar Limited	6	317.3
CRE Energy/ Scottish Power	6	455.0
Capital Dynamics	6	101.2
Clean Earth Energy	6	12.6
Community Windpower (Community Wind Power)	6	219.7
Custom Solar Limited	6	16.5
EDF Renewables	6	248.8
Earthworm/ EW Capital	6	51.0
Elgin Energy ES Co Limited	6	137.8
Elgin Energy EsCo Limited	6	254.6
Energiekontor UK Limited	6	244.5
Equitix	6	119.7
Exagen Development Limited	6	169.8
FRV TH Powertek Limited	6	1149.7
Grenergy Renewables UK Limited	6	779.9
Harmony Energy	6	168.0
Hill Power	6	11.0
Immersa	6	259.8
Innogy	6	1069.6
Intelligent Land Investments Group	6	499.7
Lightrock Power	6	850.9
Lomond Energy	6	70.9
Low carbon Solar Partners	6	23.3
Muirhall Energy (formerly Infinis)	6	64.0
Namene Solar	6	214.7
NextEnergy Solar Fund	6	73.4
Novera Energy	6	99.3
Novus Solar Developments	6	39.2
Olympus Power	6	13.0
Pelagic Energy	6	303.1
Push Energy/ NextEnergy Solar Fund (NESF)	6	42.1
Renewable Energy Systems RES ltd (Beaufort)	6	686.7
SSE Renewables	6	759.5
Seneca Global Energy	6	39.4
Solar 2 Limited	6	267.7
United Photovoltaics	6	82.3
Wind Direct	6	19.0
Zestec Asset Management	6	15.1
3R Energy Solutions Limited	5	581.0
ABO Wind NI	5	106.2
Albanwise Synergy Limited	5	219.8
Aldustria Energy Storage	5	51.0
BLC Energy	5	267.3
Boom Power Limited	5	555.5
Boralex/Infinergy	5	214.2
Clearstone Energy	5	1099.9
Cornwall Light and Power	5	25.9
Cragside Energy Limited	5	384.9
Cumbria Wind Farms	5	38.8
Downing Energy Development Company Limited	5	213.6
Econergy International Limited	5	199.8
Eneco	5	149.5
Energi Generation	5	357.9
Enviromena Project Management UK Limited	5	133.9
Environmental Energy Investments	5	23.7
Foresight Solar Fund	5	140.5
Gaelectric Developments	5	60.0
Good Energy	5	41.3
Green Energy UK Direct Ltd	5	55.6
Green Hedge (BayWa r.e.)	5	16.1
Green Switch Developments	5	26.9
Hadstone Energy	5	64.7
Heron Storage Limited	5	295.0
Immersa Limited	5	825.0
Infinis	5	147.6
Infinis Energy Services Limited	5	138.0
Kelda Water Services	5	50.8
Locogen Limited	5	117.0
Low Carbon Solar	5	25.0
Natural Power Consultants	5	102.2
Naturalis Energy Developments Limited	5	82.0
Noriker Power	5	144.8
Pivoted Power Llp	5	277.9
Primrose Solar	5	27.5
Qair UK	5	165.8
Renewable Connections	5	162.9
Renewable Development Company Ltd	5	316.9
Root Power (North) Limited	5	257.0
SLP Energy	5	37.9
Shires Hamilton	5	110.0
Solar Century	5	34.6
Solar Planning	5	78.5
Stark Energy	5	249.7
Tamani	5	20.0
The Green Company	5	16.5
The Renewables Infrastructure Group (TRIG)	5	92.9
Thrive Renewables	5	99.5
UK Battery Storage	5	249.5
UK Power Reserve	5	113.0
Valencia Waster Management Limited	5	30.6
Wind Ventures	5	70.0
Windprospect	5	23.2
Yorkshire Water	5	6.3
Zenobe Energy	5	770.0
A7 Energy	4	18.3
AGR Solar 2 Limited	4	225.0
Abbey Renewables	4	45.0
Abei Energy Limited	4	128.0
Acciona Energy	4	86.0
Alcemi Storage Development Limited	4	2300.0
Apatura	4	1160.0
Associated British Ports	4	50.7
Aviva	4	43.6
BP Oil UK Limited / ENBW UK Limited	4	5900.0
Banks Group	4	446.0
BayWa r.e. (formerly Forsa)	4	96.5
Blue Planet Solar	4	17.8
Brookfield Renewable Energy Group (PNE Wind UK)	4	83.3
Centrica Plc	4	171.3
Chiltern Renewables Hockliffe Limited	4	539.4
Clean Earth	4	13.8
Conrad Energy (Developments) II Limited	4	155.9
EBS Energy LLP	4	20.8
ESB	4	146.0
Earthworm Energy	4	23.5
Ecotricity / Next Generation	4	30.8
Ecotricity Generation Limited	4	151.0
Ecotricity Limited	4	522.6
Electron Green	4	4.8
Elgar Middleton	4	21.0
Energiekontor	4	77.0
Eon UK Plc	4	149.5
European Energy Photovoltaics	4	48.7
Farm Energy Company	4	76.9
Force 9 Energy	4	133.0
Galileo Green Energy Scotland Limited	4	209.3
Gamesa Energy	4	218.9
Gamma Solar Limited	4	45.4
Gravis Capital Management	4	55.0
Green Power (International) Limited	4	50.5
HHT Management Limited	4	8.5
Harvest Green Developments	4	8.1
Hazel Capital LLP	4	68.8
IB Vogt UK Limited	4	120.0
Innogy (previously BELECTRIC Solar)	4	12.2
Innova Renewables Limited	4	62.6
Integrum Renewable Energy Limited	4	185.0
Lightrock Power Limited	4	997.9
Locogen	4	95.0
Locogen Consulting Limited	4	98.9
Masdar Arlington Energy	4	1139.9
Moto Hospitality Limited	4	33.1
Ms Power Projects Ltd	4	21.1
Mulbrick Clean Energy	4	16.2
NatPower UK	4	3500.0
Newcastle International Airport	4	16.0
North Ayrshire Council	4	20.5
Nuon Renewables	4	76.2
Octopus Investments	4	85.2
Orsted Onshore Limited	4	174.0
Orta Solar	4	31.8
PNE Wind UK Ltd (Brookfield)	4	88.4
Pegasus Group	4	139.4
Peter J Stirling Limited	4	38.5
Power Initiatives Limited	4	87.5
REG Windpower Limited	4	149.9
Renewable Energy Ventures	4	34.5
Sainsburys Supermarkets Limited	4	8.3
Sirius EcoDev Limited	4	309.9
Solar Park Developments	4	38.0
Solar century / Magnetar Solar	4	71.0
Starlight Energy	4	160.0
Statkraft Wind UK Limited	4	222.6
Suncredit UK	4	17.1
TGC Renewables/NESF	4	41.7
Thames Water Utilities	4	8.0
The Farm Energy Partnership	4	58.1
Trio Power Limited	4	94.0
UK Sustainable Energy	4	23.0
Vestas	4	22.5
Volta Energy Storage	4	95.0
Voltwise Power Holdings Limited	4	358.0
Vox Energy Limited	4	215.0
WINDJEN POWER LTD	4	35.9
Wind Energy	4	285.0
Wirsol	4	22.0
Zenobe Energy Limited	4	1200.0
24 Power Limited	3	195.0
ABEI Energy Group	3	64.0
AGR Renewables	3	172.9
AR Partners	3	7.4
Airtricity Developments	3	67.8
Ampyr Energy UK Development Limited	3	86.9
Asda	3	8.0
Associated British Ports (ABP)	3	19.5
B9 Energy Services Ltd/ ScottishPower Renewables	3	15.0
BE Renewables/Little Eau Solar	3	41.2
BSR Energy	3	60.0
BWE Partnership	3	20.0
Bluefield Solar	3	91.6
Bluestone Energy Limited	3	158.9
Bolsterstone Plc	3	29.1
Brilliant Harvest Installations	3	14.6
British Solar Renewables / BayWa r.e. UK Limited	3	98.0
Brockwell Energy	3	705.8
Brookfield Renewable UK	3	112.9
