9873	4100.0	wind_offshore	Awaiting Construction	2025-07-31			2022-12-09
13429	3600.0	wind_offshore	Awaiting Construction	2025-06-10			2024-07-10
13432	3000.0	wind_offshore	Application Submitted				2026-01-19
B0850	2955.0	wind_offshore	Under Construction	2020-12-30	2025-04-01		2018-05-14
A0248	2400.0	wind_offshore	Under Construction	2015-02-17	2021-07-01		2013-08-29
C1830	2400.0	wind_offshore	Awaiting Construction	2023-07-12			2021-09-29
13428	2000.0	wind_offshore	Application Submitted				2026-06-25
10772	2000.0	wind_offshore	Awaiting Construction	2025-06-27			2023-09-18
13419	1800.0	wind_offshore	Application Submitted				2026-04-02
11109	1500.0	wind_offshore	Awaiting Construction	2026-05-14			2024-06-12
20217	1500.0	wind_offshore	Awaiting Construction	2026-05-14			2024-06-12
10918	1500.0	wind_offshore	Awaiting Construction	2025-07-04			2024-02-22
10919	1500.0	wind_offshore	Awaiting Construction	2025-08-29			2024-04-26
11663	1500.0	wind_offshore	Awaiting Construction	2026-02-10			2024-03-19
10920	1450.0	wind_offshore	Application Submitted				2026-05-20
21087	1450.0	wind_offshore	Application Submitted				2026-05-20
19801	1450.0						2023-01-26
12453	1450.0	bess	Awaiting Construction	2025-01-28			2023-04-03
B0585	1400.0	wind_offshore	Under Construction	2017-08-07	2025-06-01		2015-11-18
6556	1400.0	wind_offshore	Under Construction	2015-08-05	2022-03-01		2014-03-28
6483	1400.0	wind_offshore	Under Construction	2021-12-10	2025-08-01		2019-06-11
13644	1400.0	bess	Awaiting Construction	2025-01-28			2023-04-03
A0250	1380.0	wind_offshore	Awaiting Construction	2022-02-11			2018-07-11
A0250	1380.0	wind_offshore	Awaiting Construction	2022-02-11			2018-07-11
13528	1350.0	wind_offshore	Application Submitted				2025-01-31
A0249	1320.0	wind_offshore	Operational	2016-08-16	2019-09-01	2022-08-31	2015-01-30
B0263	1218.0	wind_offshore	Operational	2014-12-10	2018-01-26	2019-12-01	2013-07-30
EN00407	1200.0	wind_offshore	Application Withdrawn				2013-07-12
A0476	1200.0	wind_offshore	Under Construction	2015-08-05	2022-03-01		2014-03-28
7698	1200.0	wind_offshore	Awaiting Construction	2025-04-04			2023-08-10
12464	1200.0	bess	Awaiting Construction	2025-02-10			2023-07-04
17559	1100.0	wind_offshore	Application Submitted				2022-09-30
9803	1080.0	wind_offshore	Awaiting Construction	2025-12-17			2024-03-25
A0017	1080.0	wind_offshore	Under Construction	2017-05-16	2025-06-16		2013-07-04
B0267	1075.0	wind_offshore	Operational	2017-05-16	2021-05-01	2023-10-16	2012-10-23
14018	1025.0	bess	Awaiting Construction	2025-03-17			2024-06-13
14060	1025.0	bess	Awaiting Construction	2024-10-14			2023-11-29
13417	1008.0	wind_offshore	Application Submitted				2025-11-27
18652	1000.0	bess	Application Submitted				2025-09-23
13418	1000.0	wind_offshore	Application Submitted				2026-05-06
12206	1000.0	bess	Under Construction	2024-01-24	2025-01-01		2022-12-06
17978	1000.0	bess	Application Submitted				2024-12-20
11613	1000.0	wind_offshore	Application Submitted				2025-08-20
19676	1000.0	bess	Application Submitted				2025-08-27
18790	1000.0	bess	Application Submitted				2025-05-15
18123	1000.0	bess	Application Submitted				2024-12-19
13431	1000.0	wind_offshore	Application Submitted				2024-12-05
10913	1000.0	wind_offshore	Awaiting Construction	2026-05-14			2024-07-26
18601	1000.0	bess	Application Submitted				2025-08-28
16190	1000.0	bess	Awaiting Construction	2025-04-15			2024-03-22
19534	1000.0	bess	Application Submitted				2025-08-15
16443	1000.0	bess	Application Withdrawn				2024-12-19
19634	1000.0	bess	Application Submitted				2026-05-18
B0265	970.0	wind_offshore	Application Refused				2014-05-08
A0246	950.0	wind_offshore	Operational	2014-03-19	2019-06-06	2022-04-01	2012-08-28
14386	940.0	bess	Awaiting Construction	2023-11-28			2023-06-30
5867	900.0	wind_offshore	Awaiting Construction	2022-03-31			2019-10-15
11858	900.0	bess	Awaiting Construction	2024-11-26			2022-12-09
12307	900.0	wind_offshore	Application Submitted				2024-12-04
13735	900.0	wind_offshore	Application Submitted				2026-03-11
6158	882.0	wind_offshore	Operational	2019-06-14	2022-05-01	2025-04-01	2018-07-05
N00551W	857.0	wind_offshore	Operational	2013-07-11	2018-09-10	2022-01-13	2012-02-24
